Phone Number,Day Mins,Intl Mins,CustServ Calls,Churn
358-9095,237.9,13.9,1,TRUE
400-9770,143.9,11.1,1,FALSE
334-1275,203.4,8.9,0,TRUE
340-4953,124.3,7.9,1,FALSE
400-9510,252.9,9.5,3,FALSE
387-6103,179.1,10.6,3,FALSE
366-4467,278.4,9.8,1,FALSE
370-3450,160.1,13,0,FALSE
327-3954,198.2,8.7,4,FALSE
355-6291,212.1,5.3,1,TRUE
362-9748,251.8,9.8,2,TRUE
379-6506,161.2,4.4,4,FALSE
347-7741,178.3,14.6,0,FALSE
354-3783,151.7,10.5,0,FALSE
401-7594,135,12.5,1,FALSE
397-4976,170.5,11.3,1,FALSE
334-2577,238.1,11.8,4,FALSE
400-3637,281.4,9,2,FALSE
383-4361,117.9,9.8,1,FALSE
371-4306,148.6,10.1,1,FALSE
403-4298,229.8,9.6,3,FALSE
409-3786,165,8.3,1,FALSE
337-4697,185,12.6,2,FALSE
383-1509,161,12.1,4,FALSE
359-9794,126.7,13.3,1,FALSE
407-7035,58.9,9.4,1,FALSE
363-1069,196.8,20,0,TRUE
391-4652,162.6,14.2,1,FALSE
355-6837,282.5,9.4,1,TRUE
409-1244,113.7,10,2,FALSE
328-3266,239.8,8.7,2,FALSE
352-7072,210.2,13.1,1,FALSE
370-7550,213.8,7.2,0,FALSE
369-5526,190.7,9.8,3,FALSE
329-4391,170.9,11.6,1,FALSE
408-4195,154.2,9.2,2,FALSE
354-4445,201.4,12,1,FALSE
335-4858,70.7,9.1,4,TRUE
414-8718,187.5,6.4,4,TRUE
409-5939,91.7,9.2,2,FALSE
331-4902,214.2,9.5,3,FALSE
353-6870,145.5,10.9,3,FALSE
355-2909,166.3,6.1,1,FALSE
390-6101,231,9.5,1,FALSE
400-3446,200.3,7.1,4,FALSE
411-5859,197,9.1,1,FALSE
387-2919,129.9,11.2,3,FALSE
374-8525,175.8,5.3,5,FALSE
379-5592,203.1,12,3,FALSE
345-8237,183.2,11.2,1,FALSE
422-6690,205,10.2,2,FALSE
346-2359,148.5,12.4,1,FALSE
374-3534,200.3,10.5,0,FALSE
381-4756,192.6,6.8,3,FALSE
390-2805,246.5,11.7,1,FALSE
390-2390,167.1,14.1,2,TRUE
419-9097,231.9,14.3,3,FALSE
386-7281,146.7,13.7,1,FALSE
380-3561,271.5,11.7,1,FALSE
390-8760,181.5,8.5,1,FALSE
366-6730,257.7,11.1,2,FALSE
395-5285,193.8,10.6,1,FALSE
354-3436,102.8,10.1,1,FALSE
336-7600,187.9,7.5,1,FALSE
383-6293,226,6.9,1,FALSE
362-4596,260.4,11.5,5,FALSE
401-3926,178.7,9.8,0,FALSE
370-9116,337.4,15.8,0,TRUE
328-6289,157.6,13.7,0,FALSE
350-9994,183.6,10.2,1,FALSE
351-4616,142.1,9.6,1,FALSE
360-5779,136.3,7.1,0,FALSE
417-4885,217.1,12,0,FALSE
406-4710,187.5,10.5,3,FALSE
409-8743,98.9,12.2,1,FALSE
335-4584,206.3,6.1,1,FALSE
361-9845,243.1,12.1,2,FALSE
366-5699,189.8,7.5,1,FALSE
329-9364,202,10.9,1,FALSE
390-7434,170.1,12.8,1,FALSE
404-9680,230.9,6.3,0,FALSE
338-9398,237.1,13.2,1,FALSE
394-2445,182.1,10.6,2,FALSE
381-2709,119.3,10.5,3,FALSE
397-5060,116.8,14.1,1,FALSE
415-2393,219.2,6.1,0,FALSE
377-1765,252.6,11.1,2,FALSE
409-2111,147.1,12.2,0,FALSE
401-3170,202.1,11.5,2,FALSE
405-5681,173.5,16.2,3,FALSE
411-4582,232.1,0,3,FALSE
355-5009,197.1,9.5,4,FALSE
372-3750,58.2,11.9,5,TRUE
405-2888,115.6,9.9,2,FALSE
361-3337,186.1,14.6,2,FALSE
350-1639,259.9,8.4,3,FALSE
333-3221,214.3,10.8,1,FALSE
422-1471,158.7,10.2,1,FALSE
399-7865,271.6,10.9,2,FALSE
373-4819,160.6,9,1,FALSE
338-6981,232.4,9.1,1,FALSE
418-4365,133.8,8.9,0,FALSE
359-5461,176.9,9.5,1,FALSE
375-3586,209.9,8.8,2,FALSE
407-8376,137.5,13.4,0,FALSE
408-6496,289.5,9.5,1,FALSE
385-7688,198.1,6.8,1,FALSE
332-6934,149.7,9.7,0,FALSE
378-3625,326.5,10.7,2,TRUE
353-7292,292.9,13.8,4,TRUE
399-6786,83,13,0,FALSE
358-3261,145.7,13.1,3,FALSE
377-9932,182.3,11.2,2,FALSE
397-4030,218,6.4,3,FALSE
367-1062,140.6,6.8,2,FALSE
341-8467,152.7,9.4,1,FALSE
339-9453,106.7,12.1,1,FALSE
344-3388,243.8,13.7,2,FALSE
375-8013,194.4,10.8,3,FALSE
408-4142,213.9,12.2,3,FALSE
386-3671,217.2,15.8,3,FALSE
411-2284,241.1,11.6,1,FALSE
346-7795,203.5,11.9,0,FALSE
333-5609,155.2,10.7,1,FALSE
405-1842,167.6,12.2,1,FALSE
366-6345,226.7,17.6,2,TRUE
337-9345,179.3,11.5,3,FALSE
328-6770,151.4,10.9,0,FALSE
380-7321,180,4.7,3,FALSE
375-1476,250.2,13,1,TRUE
356-1567,223,7.1,0,FALSE
422-6685,183.6,12.2,3,FALSE
336-1090,166,10.2,1,FALSE
343-2095,136.1,4.4,1,FALSE
345-3934,149.3,8.9,2,FALSE
338-8050,65.4,13.8,2,FALSE
388-9568,213.4,2.7,1,FALSE
402-6591,206.9,7.7,3,FALSE
403-6419,186.2,9.6,2,FALSE
386-9790,280.2,13.3,4,FALSE
378-5692,196.6,11.9,0,FALSE
360-3324,312,10.5,0,TRUE
410-3719,199,11,1,FALSE
352-4221,203.1,13.5,3,FALSE
327-6179,168.8,10.9,0,FALSE
359-6196,173.1,9,1,FALSE
374-9107,134.4,10.2,5,TRUE
357-4078,202.6,9,2,FALSE
366-5780,74.5,9.8,3,FALSE
393-9619,83.6,10.7,0,FALSE
355-9295,192.2,9.4,1,FALSE
400-5751,220.2,12.9,0,FALSE
338-1027,135.1,12.3,2,TRUE
405-8867,253.4,8.4,1,FALSE
336-5616,225,7.1,3,FALSE
335-1697,198.5,9.4,0,TRUE
331-5138,110.3,9.5,0,FALSE
385-8240,60,11.1,0,FALSE
348-1359,214.8,10.2,0,FALSE
354-7339,181.8,9.2,4,FALSE
349-1687,154,11.8,2,FALSE
380-2558,157.4,13.9,4,TRUE
365-2153,207.9,14.4,4,FALSE
345-6043,207,9.1,3,FALSE
349-2808,119,9.5,0,FALSE
411-1715,143.7,10.9,0,FALSE
385-2488,165.9,14.1,4,FALSE
377-7177,138.6,9.8,1,FALSE
342-1099,84.7,14.5,1,FALSE
386-4170,62.6,10.4,1,TRUE
413-1269,155.2,8.7,1,FALSE
396-4460,164.9,6.7,1,FALSE
334-2730,134.5,15.4,1,FALSE
340-3182,143.3,11.5,1,FALSE
377-8608,168.3,12.5,1,FALSE
417-3676,262.4,8.3,2,FALSE
417-6774,206.2,11.4,1,FALSE
411-9554,225.8,8.4,4,FALSE
420-3192,138.3,13.5,3,FALSE
389-1475,94.4,4.5,0,FALSE
343-7734,160,9.9,2,FALSE
410-3390,206.6,14.6,0,FALSE
344-6495,134.7,7.7,1,FALSE
331-6229,214.4,8,3,FALSE
337-7501,192.8,13,3,FALSE
339-9631,151.1,10,1,FALSE
369-4384,221.4,9.8,3,FALSE
416-3915,218.9,11.1,0,FALSE
339-3049,189.8,6.5,2,TRUE
361-7998,192.7,10.9,2,FALSE
355-4842,204.4,10.5,3,FALSE
387-6440,172.3,13,2,FALSE
369-2625,198.4,10.4,2,FALSE
389-7073,211.7,12.2,1,FALSE
370-8463,221.6,9,1,FALSE
362-7318,197.9,6.7,3,FALSE
412-1194,147.5,15.6,2,FALSE
355-9508,206.4,8.8,2,FALSE
352-8202,205.9,14.5,2,FALSE
335-5882,207.6,14.1,0,FALSE
352-6976,303.9,5.3,1,TRUE
393-6733,230.6,8,0,FALSE
335-1838,99.5,9.7,0,FALSE
355-6930,177.1,5.9,1,FALSE
387-5860,172.7,10.3,5,TRUE
343-2605,172.7,9.8,1,FALSE
350-6759,204.2,9.5,1,FALSE
371-1514,85.7,10.1,2,FALSE
346-9317,157.6,11.9,0,FALSE
398-4313,215.5,6.6,4,FALSE
412-4399,181.5,6.6,1,FALSE
330-1835,171.7,11.9,2,FALSE
416-1676,266.6,5.9,1,TRUE
329-7347,170.4,11.2,0,TRUE
360-6868,158,9.1,1,FALSE
405-6641,92,10.3,1,FALSE
393-2373,234,9.1,2,FALSE
419-1714,272.1,8.5,1,TRUE
336-3819,296.4,11.4,4,TRUE
341-3464,194.4,11.4,0,FALSE
413-5310,227.2,8.9,3,FALSE
366-7912,248.7,13.2,1,TRUE
399-8845,236.3,9.7,1,FALSE
368-2583,205.6,10.9,0,FALSE
360-6309,94.1,9.8,0,FALSE
359-5890,125.2,18.9,0,FALSE
332-2462,60.4,12.4,1,FALSE
381-9196,121,7.7,2,FALSE
329-3222,117.8,7.6,3,FALSE
363-5819,232.4,5,3,FALSE
413-9269,223.5,9.4,2,TRUE
330-7483,176.3,6.2,0,FALSE
403-7775,125.2,12.9,1,FALSE
360-2479,138.7,10,0,FALSE
394-3791,86.3,11.3,1,FALSE
384-2632,207,13.4,3,FALSE
359-8466,58.8,7.1,0,FALSE
331-8909,68.7,11.4,1,FALSE
359-5160,239.2,9.5,1,FALSE
330-9833,198.3,12.5,0,FALSE
362-2314,205.2,14.4,0,FALSE
338-8478,192.1,7.9,3,FALSE
387-5453,272.6,9.5,1,TRUE
380-3437,128.3,12.2,7,TRUE
365-8779,169.6,9.3,0,FALSE
407-2750,201.3,7.5,1,FALSE
396-8265,214.7,8.6,1,FALSE
397-4304,169.2,10.6,0,FALSE
333-2611,194.1,7,2,FALSE
409-8814,233.8,7.6,2,FALSE
336-5406,225.1,14.6,0,FALSE
343-6940,213,9.1,1,TRUE
361-9923,183.9,10.8,1,FALSE
350-6639,221.8,14,0,FALSE
376-4300,64.6,0,2,FALSE
349-6567,154.6,13.3,1,FALSE
333-7749,260.2,7.2,3,FALSE
408-6089,161.6,12.2,1,FALSE
375-2165,220.6,10.5,1,FALSE
400-6999,155.9,13.1,3,FALSE
420-7823,107,12.8,4,TRUE
366-5241,182.5,11.3,4,FALSE
413-3412,220.1,10.1,4,FALSE
406-2752,152.2,5.3,1,FALSE
337-8078,181.5,14.7,2,FALSE
402-1942,236.2,13.2,2,TRUE
371-7917,166.1,12.7,1,FALSE
343-6374,244.6,11.3,1,FALSE
385-8730,134.2,8.5,2,FALSE
393-7892,149.7,9.2,1,FALSE
407-6748,150.1,5.8,1,FALSE
341-4463,257.1,8.8,1,TRUE
351-2587,124.4,11.3,0,FALSE
421-9752,141.7,12,1,FALSE
356-4001,230,11.3,2,FALSE
328-9869,162.3,10.9,0,FALSE
343-5709,350.8,10.1,1,TRUE
334-1872,193.3,9.1,4,FALSE
350-1040,78.2,18,1,FALSE
369-3214,83.4,7.6,1,FALSE
385-6778,195.6,16,0,FALSE
383-7689,201.8,10.3,1,FALSE
385-5722,197,10.6,2,FALSE
357-1909,218,12.4,0,TRUE
364-3567,164.8,14.8,2,FALSE
422-4241,179.2,9.2,2,FALSE
370-2957,214,10.6,0,FALSE
329-6562,170.5,11.2,2,FALSE
363-3515,205.7,6.7,1,FALSE
374-7787,165.5,11.5,1,TRUE
345-2931,221,6.8,2,FALSE
373-5732,242.1,14.7,3,FALSE
348-7437,151.6,14.7,1,FALSE
332-9460,176.2,5.7,0,FALSE
355-6531,196,3.7,1,FALSE
336-9390,159.5,7.2,2,FALSE
346-8581,230.2,10.7,4,FALSE
363-8824,146.7,8.9,3,FALSE
353-3351,210.5,8.5,1,FALSE
360-4320,102,10.7,1,FALSE
417-6252,126,10.2,3,FALSE
393-4949,168.4,11.1,1,FALSE
401-3156,105.6,8.7,0,FALSE
338-6283,206.5,12.4,5,FALSE
352-9017,217.1,9.4,2,FALSE
405-5305,229.6,10.8,0,TRUE
376-9249,278.3,9.7,0,FALSE
339-7139,138.6,7.8,0,FALSE
328-6011,234.4,2,1,TRUE
378-1303,181.5,8.5,1,FALSE
402-5155,167.3,10.6,1,TRUE
333-5430,121,12,1,FALSE
365-9696,221.1,10.6,0,FALSE
410-4023,145.8,9.9,1,FALSE
411-7649,222.8,11.2,1,FALSE
338-4065,183.4,7.5,4,FALSE
421-9401,264.3,9.3,0,FALSE
343-9658,146,6.8,0,FALSE
332-5521,157.1,8.5,4,TRUE
349-4369,127.3,10.3,1,FALSE
351-4288,187.9,4.8,2,FALSE
422-5874,178.8,8.4,2,FALSE
396-2324,97.2,10.4,2,FALSE
416-5662,259.8,5.4,0,FALSE
363-9663,256.5,7,3,FALSE
410-9477,169.5,10,0,FALSE
352-4418,239.7,8.7,2,TRUE
361-6563,171.5,5,1,TRUE
417-4404,239.9,9.8,0,FALSE
372-8048,142.3,16,1,FALSE
356-3646,184.1,7.5,2,FALSE
351-9604,206.9,9.3,2,FALSE
355-9581,259.9,15.3,1,FALSE
396-5189,203.8,12.5,0,FALSE
356-9187,248.8,10.3,3,FALSE
394-5537,221.6,11.3,1,FALSE
408-2712,192.9,10.9,1,FALSE
404-4486,122.4,12.5,1,FALSE
355-1113,104.9,9.6,1,FALSE
411-4674,173.2,11.2,3,FALSE
376-4519,119.4,12.4,2,FALSE
365-5979,250.3,13.3,2,TRUE
382-2879,178.3,11.4,1,FALSE
420-1383,243.4,12.8,1,FALSE
411-7390,155,11.8,2,FALSE
383-8848,288.7,8.6,0,FALSE
387-9301,240.4,11.2,1,FALSE
399-3164,190.3,8,1,FALSE
385-8997,278,8.3,0,TRUE
352-6573,155,13.5,1,FALSE
408-3384,153.5,6.3,2,FALSE
419-6033,273.4,12.3,1,FALSE
336-2090,155.3,12.4,0,FALSE
343-7242,133.1,6.8,1,FALSE
376-1713,246.8,12.6,1,FALSE
381-5878,165.4,9.6,2,FALSE
390-5470,59.5,11.1,0,FALSE
414-4803,138.3,9.6,3,FALSE
382-5478,286.7,6.9,2,FALSE
333-7637,117.3,12.2,1,FALSE
341-1647,264.3,6.3,4,FALSE
411-4232,127.9,12.5,0,FALSE
339-2616,225.5,9.8,0,FALSE
327-3850,149,8.3,0,FALSE
328-7209,198.9,14.3,1,FALSE
405-6189,256.4,11.1,1,TRUE
418-6737,264.8,14.8,1,TRUE
366-2212,98.2,9.3,2,FALSE
356-1420,159.8,9.7,2,FALSE
343-1323,190.6,6,3,FALSE
361-8239,184,11,0,FALSE
384-1621,261.8,9.6,1,FALSE
360-3525,147.9,9.6,3,FALSE
392-3813,106.4,10.1,1,FALSE
337-6898,133.7,5.9,0,FALSE
366-8036,193.5,8.5,0,FALSE
352-8327,178.2,13.6,3,TRUE
334-9505,226.2,10.5,3,TRUE
336-5702,170.4,11.6,1,FALSE
392-2381,70.9,11.1,3,FALSE
369-6880,194.4,17.2,2,FALSE
416-8697,240.3,10.6,1,FALSE
345-3451,75,9.5,3,FALSE
379-2514,69.1,6.3,1,FALSE
418-6651,96.6,6.2,4,TRUE
421-3528,214.6,14.8,0,FALSE
329-9046,148.5,9.9,3,FALSE
406-3890,258.1,11.7,1,FALSE
403-8904,149.7,7.6,3,FALSE
393-4086,149.8,8.1,1,FALSE
400-1367,190.4,11.2,2,FALSE
377-9473,181.4,11.6,1,FALSE
396-3068,151.1,5.3,1,FALSE
331-9293,155.7,8.1,0,FALSE
347-1914,149.9,13.3,2,FALSE
395-1962,222.3,11,3,FALSE
401-5485,149.4,6.7,0,FALSE
355-6560,233.8,12.8,0,FALSE
363-3911,204.2,10.5,0,FALSE
345-1998,242.9,0,1,FALSE
361-5277,150.4,12.3,1,FALSE
376-7145,208.9,12.8,0,FALSE
375-2975,191.9,14.3,1,TRUE
376-8573,130.7,9.4,2,TRUE
366-7360,119.6,5.9,2,FALSE
347-7898,273.6,8.2,1,FALSE
390-7328,156.1,11.1,2,FALSE
356-5491,178.7,8,2,FALSE
373-3251,177.5,11.9,2,FALSE
343-1965,211.3,9.7,4,TRUE
378-8019,175.2,7.5,1,FALSE
386-1548,114.3,12.6,3,FALSE
397-1649,251.4,7.5,1,FALSE
366-7247,216.9,17.5,1,TRUE
402-9691,217.2,9.3,0,FALSE
334-9806,206.3,12.4,0,FALSE
378-7733,159.3,11.1,1,FALSE
407-2248,143.1,11.4,2,FALSE
405-3916,154,5.6,3,TRUE
407-2081,186.6,11.6,1,FALSE
397-9148,170.8,9.6,5,TRUE
415-4857,124,12.3,1,FALSE
354-7314,198.3,14.8,3,FALSE
346-5611,172.8,9.1,2,FALSE
349-4703,217.4,6.6,0,FALSE
411-7778,265.9,14,0,TRUE
421-1469,93.6,17.5,1,FALSE
420-5990,98.2,7.6,2,FALSE
389-4780,214.7,9.4,2,FALSE
357-2735,168.2,12.9,1,FALSE
409-4791,202.9,9,3,FALSE
380-5286,261.4,11.6,1,FALSE
394-8402,73.3,8.2,4,TRUE
392-1616,253.7,9.2,7,FALSE
364-1969,45,9.8,2,FALSE
390-4152,231.3,13,1,FALSE
367-7039,47.4,10.5,2,FALSE
391-6607,227.4,12.5,0,FALSE
379-6652,40.9,11.9,0,FALSE
384-1833,124.8,8.6,2,FALSE
403-2455,68.5,12.1,0,FALSE
391-1348,163.5,7.8,2,FALSE
408-4174,163,6.7,2,FALSE
366-4334,213.7,10.7,2,FALSE
406-5059,201.3,5.4,1,FALSE
373-6784,310.4,9.2,4,FALSE
408-3532,48.4,18.2,1,FALSE
350-8680,171.2,14,1,FALSE
398-9870,166.5,8.5,0,FALSE
343-3356,216.6,12.4,0,FALSE
415-4609,107.8,9.9,2,FALSE
404-5387,141.3,7.8,1,FALSE
415-8151,209.9,6.6,0,FALSE
416-2778,237.5,14.2,9,TRUE
393-3300,234.5,3.5,3,FALSE
391-7661,103.1,12.2,3,FALSE
339-4317,129.5,11.9,1,FALSE
418-6455,279.8,8.4,2,TRUE
378-3508,136.8,10.3,5,TRUE
390-9359,100.1,5.9,0,FALSE
364-2495,237.1,10.1,4,FALSE
364-7719,172.8,7.9,4,TRUE
421-1189,224.5,11.5,2,FALSE
419-8987,288.1,10.2,3,TRUE
402-9980,78.2,10.1,2,FALSE
376-5908,148.7,12.7,2,FALSE
400-3150,194.6,13.1,2,FALSE
336-1749,159.5,12,0,FALSE
420-1259,194.5,9.5,1,FALSE
339-7541,174.1,8.3,2,TRUE
378-9029,131.8,7.7,2,FALSE
342-7514,160.6,10.7,1,FALSE
422-4956,146.8,7.2,0,FALSE
389-8606,200.7,9.1,1,FALSE
406-7261,145.6,10.9,1,FALSE
417-7973,229.4,8,2,FALSE
390-2891,211,4.7,3,FALSE
385-7387,121.5,11.3,2,FALSE
362-2776,216,3.6,2,FALSE
329-1955,293,10,2,FALSE
344-3160,221.1,15.4,2,TRUE
406-2454,181.5,10.3,1,FALSE
335-3913,74.3,14.5,2,FALSE
355-7705,62.3,10.8,1,FALSE
410-7108,228.6,9,3,FALSE
419-1674,228.1,9.9,2,TRUE
351-7369,309.9,14.2,1,FALSE
349-9566,201.9,13.7,3,FALSE
333-3421,149.8,11.7,2,FALSE
393-8199,183.8,7.7,1,FALSE
388-4879,186.7,16.5,1,FALSE
353-6007,209.4,7.4,1,TRUE
416-1557,223.2,10.2,3,FALSE
356-7217,164.2,10.7,1,FALSE
350-2012,150.5,10.3,1,FALSE
420-9838,234.2,9.8,0,TRUE
373-6379,55.3,10.2,1,FALSE
355-7293,221.8,8.4,1,FALSE
406-4588,169.6,7.4,1,FALSE
345-1524,89.7,13.5,5,TRUE
375-8493,80.2,8.6,1,FALSE
361-2924,218.9,11.3,2,FALSE
359-6163,125.7,12.9,1,FALSE
411-8140,176.3,9.6,2,FALSE
381-9049,207.2,9.5,2,FALSE
344-4478,205.7,12.5,2,FALSE
360-2690,151.4,0,1,FALSE
410-7383,157.5,9.6,3,FALSE
356-1889,160.4,9.1,2,FALSE
341-2360,159,12.3,1,FALSE
370-3021,214.1,9.2,0,FALSE
336-4656,102.6,9.1,2,FALSE
386-2810,159.7,13.9,0,TRUE
350-1354,202.8,4.6,1,FALSE
346-5707,57.5,11.6,3,FALSE
405-8370,169.9,11.4,1,FALSE
373-2053,335.5,12.7,2,TRUE
369-5222,139.5,13.1,0,FALSE
347-7420,142.3,6.6,1,FALSE
392-6856,187.8,10.6,0,FALSE
371-5556,146.2,8.7,3,FALSE
334-5337,231.8,11.6,3,FALSE
334-8817,193.7,12.7,1,FALSE
339-1405,156.4,7.7,4,FALSE
380-7742,220.7,13.2,1,TRUE
329-6191,239.8,7.3,2,FALSE
340-3075,172,8,1,FALSE
416-5849,128.2,8.8,2,FALSE
334-7443,130.2,14,3,FALSE
394-9121,195.4,11.6,1,FALSE
383-1657,293.3,14.5,0,TRUE
347-4112,191.3,12.8,1,FALSE
362-8280,122.4,11.5,1,FALSE
402-9982,209.6,10.6,2,FALSE
392-8905,215.7,7.1,3,FALSE
392-5512,161.4,5.1,0,FALSE
351-6384,144.2,13.8,3,FALSE
348-8015,220.2,4.1,0,TRUE
374-6966,256.2,7.4,4,FALSE
328-2236,112.7,6.5,1,FALSE
372-6497,299.5,13.7,0,TRUE
417-8617,194.8,13.9,0,FALSE
361-9621,100.8,9.5,0,FALSE
421-2723,82.5,4.8,3,FALSE
327-9341,146.4,15.6,2,FALSE
383-5474,177.9,10.8,2,FALSE
328-8147,153.5,10.2,5,FALSE
373-5438,150.7,9.2,1,FALSE
333-9253,180.1,7.5,0,FALSE
347-9421,265.3,12.9,1,FALSE
419-3167,128.6,11.4,0,FALSE
414-4162,161.5,7.9,2,FALSE
416-5341,165.3,9.8,1,FALSE
368-8600,195,11,0,FALSE
336-6085,213.8,15.6,0,FALSE
377-1479,205.5,14,1,FALSE
360-2107,252.9,8.5,3,FALSE
405-9384,235.6,15.4,0,FALSE
420-5179,192,7.5,1,FALSE
331-3174,69.1,9.1,0,FALSE
411-5958,261.7,6,3,TRUE
333-8180,235.5,11.5,2,FALSE
357-2679,213.4,9.5,1,FALSE
396-2867,206.9,9.2,3,FALSE
341-9443,263.8,8.5,3,FALSE
341-4103,183.4,10.5,1,FALSE
416-8701,157.6,9.4,5,TRUE
397-6109,175.6,9.3,0,FALSE
392-5587,242.5,9.3,2,FALSE
392-9342,151,9.9,0,FALSE
368-2845,138.1,8.3,1,FALSE
405-4920,264.7,9.5,1,TRUE
348-7484,282.3,12,1,FALSE
338-5207,211.2,12.3,0,FALSE
418-7846,197.1,7.4,3,FALSE
358-8729,205.3,7.8,1,FALSE
349-1943,181.8,9.2,2,FALSE
368-8283,252,9.6,2,FALSE
345-1419,193.8,9.2,0,FALSE
358-8025,231.2,12.3,1,FALSE
383-8695,200.1,15.5,0,FALSE
370-7565,266.7,16.3,1,FALSE
401-6162,118.1,11.9,2,FALSE
386-5303,175.3,11.8,0,FALSE
351-6552,125.1,11.2,3,FALSE
345-5338,176.8,7.5,1,FALSE
330-2849,241.9,5.9,1,FALSE
364-6801,241.2,10.6,0,FALSE
375-3003,217.1,9.4,1,FALSE
383-8878,195.4,8.9,0,FALSE
384-2372,222.4,8.7,1,TRUE
377-7107,189.5,13.1,1,FALSE
361-1581,123.1,9.3,0,FALSE
417-7888,256.7,11.4,3,FALSE
383-8364,159.1,6.5,1,FALSE
396-2335,100.1,11.1,3,FALSE
408-4530,30.9,8.6,1,FALSE
408-6621,223.2,10.1,3,FALSE
393-7522,187.4,12.6,1,FALSE
338-7120,315.6,12.1,3,FALSE
357-4265,277.5,8.2,1,FALSE
398-8801,189.8,14.9,2,FALSE
346-2347,147.2,10.2,1,FALSE
343-2741,185.8,5.7,4,FALSE
420-8242,155.4,8,3,FALSE
402-7746,154.2,10.9,6,FALSE
332-1494,97.6,11.6,1,FALSE
388-6223,178.8,7.5,1,FALSE
404-9539,149.3,9.1,0,FALSE
341-7332,206,8.4,0,FALSE
338-7886,216.8,11,0,FALSE
332-5596,103.3,10.7,0,FALSE
348-9945,139.4,7.7,0,FALSE
407-1896,191.2,14.1,1,FALSE
398-9408,160,10.4,1,FALSE
369-8005,221.7,6.5,3,FALSE
346-2530,62.9,8.5,1,FALSE
400-5984,215.6,3.6,1,FALSE
351-1007,165.3,7.6,3,FALSE
345-5980,94.7,10.6,2,FALSE
368-8964,203.2,9.7,2,FALSE
